,name,ingredients,steps,loves,url,description,image
10,Sayur nDeso (Sayur Tahu Cabe Ijo),"8 potong tahu putih, rebus lalu potong2--1 papan tempe, potong kecil2--2 papan pete, kupas--500 ml santan dari setengah butir kelapa--1 liter air--Bumbu tumis:--6 bawang putih, iris tipis--6 bawang merah, iris tipis--1 bawang bombay, iris2--10 cabe rawit, iris serong--100 gr cabe ijo, iris serong--4 lembar daun salam--Bumbu:--1 sdm garam--1 sdm gula--1/2 sachet royco--","Panaskan minyak, tumis bumbu tumisan sampai layu & wangi. Masukkan tahu, tempe & pete, aduk2 sampai tercampur rata. Masukkan air, masak sampai mendidih.--Setelah mendidih, masukkan santan dan bumbu (gula garam royco), masak sampai matang sambil diaduk2, agar santan tidak pecah.--Cicipi & koreksi rasa--Sajikan bersama ikan asin / gorengan favorit. Aku pake ikan asin layur & bakwan jagung--Bakwan jagungnya pake tepung bakwan jagung instan dari sajiku--Ikan asin layurnya : cuci bersih ikan asin, baluri dengan tepung beras, goreng sampe coklat keemasan. Renyah banget deh, kriuk2 banget--",6,/id/resep/4469273-sayur-ndeso-sayur-tahu-cabe-ijo,,https://img-global.cpcdn.com/recipes/6ef3be6d8a899f43/680x482cq70/sayur-ndeso-sayur-tahu-cabe-ijo-foto-resep-utama.jpg
11,Salmon (tetelan) Teriyaki,"250 gr tetelan salmon mentah--1/2 bagian jeruk lemon (peras airnya, sisihkan dgn buahnya)--2 ruas jahe (kupas, cuci bersih & digeprek)--500 gr jamur kuping (cuci bersih & iris tipis)--7 batang baby corn (cuci bersih & iris tipis)--1/4 bagian paprika hijau (cuci bersih & iris tipis)--6 cabe rawit (cuci bersih & iris kecil-kecil)--5 sdm kecap manis--1 sdm saus tiram Saori--3 sdm saus teriyaki Saori--1 siung bawang bombay kecil (cuci bersih & iris tipis)--4 butir bawang putih (cuci bersih, digeprek & iris tipis)--6 butir bawang merah (cuci bersih & iris tipis)--2 sdt garam--2 sdt lada putih--1/4 sdt lada hitam--750 ml air--1 ruas ibu jari lengkuas (kupas, cuci bersih & digeprek)--3 sdm minyak goreng--","Panaskan 500 ml air. Masukkan air perasan jeruk lemon, buah lemon pasca diperas & 1/2 ruas jahe. Biarkan sampai mendidih.--Masukkan tetelan salmon, rebus hingga matang & bau amis menghilang (sekitar 20-25 menit dengan api sedang). Tambahkan 1 sdt garam & 1 sdt lada putih.--Matikan kompor, tiriskan salmon yang sudah matang.--Panaskan minyak goreng dengan api sedang. Tumislah bumbu (bawang putih, bawang merah, bawang bombay) hingga berbau harum. Masukkan paprika hijau & cabe rawit, tumis hingga baunya menyatu.--Tambahkan kecap manis,saus teriyaki & saus tiram. Masukkan tetelan salmon matang, tumis bersama bumbu hingga berubah warna kecoklatan (tanda sudah menyatu dengan bumbu).--Masukkan irisan jamur kuping & baby corn, tumis hingga jamur layu & baby corn menyatu dengan bumbu. Tambahkan 250 ml air, tunggu sampai jamur & baby corn matang.--Kecilkan api ketika air sudah makin surut, masukkan 1,5 ruas jahe & 1 ruas lengkuas. Tambahkan 1 sdt garam, 1 sdt lada putih & 1/4 sdt lada hitam.--Matikan api & pindahkaan masakan dari teflon ke piring saji. Tetelan salmon teriyaki siap disajikan bersama nasi merah hangat.--",6,/id/resep/4471381-salmon-tetelan-teriyaki,"Demi menghabiskan stok tetelan salmon di kulkas & lagi ingin masak salmon berbumbu (biasanya hanya masak salmon rebus). Langkah-langkahnya agak banyak, karena saya ingin salmon yang benar-benar matang sehingga tidak hancur ketika ditumis dengan bumbu teriyaki. 👌",https://img-global.cpcdn.com/recipes/3b340d3d7b23b8f2/680x482cq70/salmon-tetelan-teriyaki-foto-resep-utama.jpg
12,Tumis Udang tempe kacang panjang,"1 potong tempe, potong Kecil2--6 ekor udang, buang kulit dan kepala lalu cuci bersih--3 buah kacang panjang, potong2--1 siung bawang putih, iris--1/2 siung bawang bombay, iris--1 bawang pring, potong 2--3 buah cabe rawit, iris--1/2 sdm saus tiram--1/2 sdm kecap manis--1/2 sdm saos tomat--Sedikit garam dan gula--Minyak untuk menggoreng--","Panaskan minyak di atas wajan--Goreng tempe, angkat--Masukkan bawang putih dan bawang bombay. Tumis hingga harum--Masukkan cabe rawit dan daun bawang--Masukkan udang, aduk hingga berubah warna. Lalu masukkan tempe yg sudah digoreng--Tambahkan saus tiram, saus tomat, kecap manis, sefikit garam dan gula. Aduk sebentar hingga bumbu merata. Tes rasa...--Angkat dan sajikan dg nasi hangat. Mantaaappp--",0,/id/resep/4466731-tumis-udang-tempe-kacang-panjang,Ngabisin sisa-sisa bahan dlm kulkas yg semuanya tinggal dikit... Heh,https://img-global.cpcdn.com/recipes/bc9d83bbeae45282/680x482cq70/tumis-udang-tempe-kacang-panjang-foto-resep-utama.jpg
13,Tumis Daging Sapi,"500 gr daging sapi--1 bh bawang bombay--1 siung bawang putih--1 ruas jahe--5 bh cabe ijo besar--5 bh cabe ijo keriting--1 sdm saus tiram--1/2 sdt garam, gula pasir, merica bubuk--Saus marinasi:--2 sdm kecap manis--1 sdm kecap asin--1 sdm minyak wijen--","Rendam daging dalam kecap manis, kecap asin dan minyak wijen.--Diamkan dalam kulkas minimal 1jam, lebih lama lebih enak.--Iris serong cabe. Geprek jahe. Cincang halus bawang putih. Potong besar bawang bombay.--Panaskan minyak goreng tumis bawang putih dan bawang bombay sampai harum kemudian masukkan jahe dan cabe ijo.--Kemudian masukkan daging yg sudah dimarinasi beserta seluruh sausnya. Aduk rata.--Tambahkan saus tiram. Aduk rata.--Lalu bubuhkan garam, gula pasir dan merica bubuk.--Beri secukupnya air supaya daging matang sempurna dan empuk serta tidak gosong.--Masak sampai kuah berkurang sesuai selera. Koreksi rasa.--Tumis daging sapi siap dihidangkan untuk makan siang bersama keluarga tercinta. 😋😋😋--",22,/id/resep/4466890-tumis-daging-sapi,"Pagi2 udah kepikiran pengen makan siang menunya tumis daging sapi cabe ijo ini..berhubung harus dimarinasi dulu jadi udah disiapin dr pagi..minimal disimpan dalam kulkas 1jam yaa..rasanya gurih, manis dan ada sedikit pedasnya.",https://img-global.cpcdn.com/recipes/1067408899f74166/680x482cq70/tumis-daging-sapi-foto-resep-utama.jpg
14,Tempe isi Sambel,1 kotak tempe--200 gr Tepung terigu--Bumbu harus untuk pelapis tempe--Garam dan 2 butir bawang (dihaluskan)--5 biji cabe rawit--2 butir bawang putih--3 butir bawang merah--2 lembar daun jeruk--secukupnya Garam--,"Iris tempe menjadi 10 bagian kotak belah sedikit tengahnya untuk memasukkan isi sambelnya. Taruh di wadah lalu bumbui dengan garam dan bawang yang sudah di haluskan.--Iris semua bumbu sambal(karna gag suka ngulek bun).. tempatkan jadi 1 diwadah setelah selesai teriiris aduk rata kasih sedikit garam.--Masukkan isi sambal kedalam belahan tempe tadi.--Masukkan kedalam adonan tepung terigu yang sudah di bumbui garam dan bawang yang telah dihaluskan.--Panaskan wajah yang sudah terisi minyak,,goreng hingga kekuningan. Angkat tiriskan.--Tempe isi siap di hidang kan,,bisa untuk lauk pauk ataupun sekedar di Cemil.. bagi yang suka pedes banget bisa di cocol sama saos pedes.. yummy 😋😋--",3,/id/resep/4467027-tempe-isi-sambel,,https://img-global.cpcdn.com/recipes/e41fcd5d3f08ec96/680x482cq70/tempe-isi-sambel-foto-resep-utama.jpg
15,Telor ceplok asam jawa,3 buah telur;boleh lebih--1 buah tomat--3 buah bawang putih--3 buah bawang merah--3 btg cabe--Daun bawang--3 sdm air asam jawa--secukupnya Garam gula dan penyedap--,"Ceplok telor sampai garing,sisihkan--Tumis duo bawang dan cabe sampai harum kemudian masukan air asam jawa, tambahkan garam gula dan penyedap rasa koreksi rasa--Masukan tomat dan telor, sajikan dengan taburan daun bawang--",6,/id/resep/4466464-telor-ceplok-asam-jawa,Pingin yg simple 5mnt selesai,https://img-global.cpcdn.com/recipes/a16b3d0a235ccca3/680x482cq70/telor-ceplok-masak-asam-foto-resep-utama.jpg
16,Ayam Saos Asam Manis Simple,1/4 kg Ayam bagian dada fillet (Potong dadu)--Secukupnya air jeruk nipis utk baluran--1 Bungkus tepung bumbu ayam instan uk besar + campur sedikit tepung terigu--3 Siung b.putih (iris tipis)--3 Siung b.merah (Iris tipis)--1 Buah b.bombay (Iris tipis)--1 Buah tomat uk besar (Haluskan)--3 sdm saos sambal--1 Sdm Saos tiram--Secukupnya Gula & garam--Secukupnya merica bubuk--,"Lumuri ayam yg sdh dipotong dadu dgn garam & perasan jeruk nipis (diamkan sebentar)--Baluri ayam dengan tepung basah, lanjutkan ke tepung kering, diamkan sebentar--Goreng ayam yg sdh dbaluri tepung sampai kering & matang, angkat tiriskan.--Membuat Saos Asam Manis : -Tumis b.merah & putih (sy suka klo bawang y agak kering)--Masukkan bawang bombay, tumis sebentar.--Masukkan tomat buah yg sdh dihaluskan tdi, tumis lagi pakai api sedang, tambahkan air secukupnya--Masukkan saos sambal, saos tiram, sedikit perasan jeruk nipis, gula, garam & merica (koreksi sampai rasanya terasa asam manis gurih segar)--Masukkan ayam yg sdh digoreng tdi kedalam saos asam manis, diamkan sebentar--Setelah ayam sdh cukup merasap dengan saos asam manisnya matikan api dan siap disajikan dengan nasi putih hangat--",6,/id/resep/4472901-ayam-saos-asam-manis-simple,Ayam asam manis yg saya buat ini menggunakan buah tomat asli sebagai pengganti saos tomatnya krn ternyata rasanya jauh lebih segar..,https://img-global.cpcdn.com/recipes/43fbf2dc23772997/680x482cq70/ayam-saos-asam-manis-simple-foto-resep-utama.jpg
17,Pindang Serani Ikan Patin,"500 gr ikan patin--1 bh jeruk nipis--4 bh bawang merah, potong tipis--3 bh bawang putih, potong tipis--1 ruas jahe, bakar, geprek--1 ruas lengkuas, bakar, geprek--1 ruas kunyit, bakar, geprek--1 batang serai, geprek--3 lembar daun jeruk--2 lembar daun salam--2 ikat daun kemangi--2 bh tomat merah--10 bh cabe rawit--secukupnya air, garam, gula--","Cuci bersih ikan patin. Lumuri dengan jeruk nipis, diamkan sebentar, bilas hingga bersih.--Tumis bawang merah, bawang putih, jahe, lengkuas, kunyit, serai, daun jeruk, daun salam hingga harum. Tambahkan air, tunggu hingga mendidih.--Masukkan potongan tomat dan cabe, bumbui dengan garam dan gula secukupnya, tes rasa. Masukkan ikan patin, tunggu hingga matang (jangan sering diaduk). Terakhir masukkan daun kemangi.--Sajikan dengan taburan bawang goreng.--",6,/id/resep/4453450-pindang-serani-ikan-patin,"Resep aslinya pedas, jadi seharusnya cabenya dipotong dulu baru ikut dimasak. Kalau ini sengaja saya masukkan utuh, biar bisa dipilih dan anak-anak bisa ikut makan. 
Source: Farikha",https://img-global.cpcdn.com/recipes/02879ed5b9d67418/680x482cq70/pindang-serani-ikan-patin-foto-resep-utama.jpg
18,Sup Ikan Mujaer,1 ekor ikan mujaer--1 ruas jari jahe (di geprek)--secukupnya Royco ayam--1/2 sdt merica bubuk--1 bh bawang bombay--2 sdm minyak untuk menumis--1 batang seledri (iris)--1 batang daun bawang (iris)--Bumbu halus :--4 siung bawang putih--1 sdt garam--secukupnya Pala--,"Rebus ikan ± 3 menit agar mudah dipisahkan dari duri dan kepala--Tumis bawang bombay, bumbu halus dan jahe geprek dengan minyak goreng.--Masukkan bumbu yg telah di tumis ke dalam air kaldu ikan beserta ikan yg telah di pisahkan dari durinya.--Masukkan merica bubuk--Masukkan daun bawang dan seledri--Aduk-aduk sambil cek rasa, tambahkan royco secukupnya.--Siap disajikan dengan taburan bawang goreng lebih nikmat--",2,/id/resep/4467016-sup-ikan-mujaer,"Bingung punya mujaer mau di masak apa selain di goreng,  iseng di bikin sop.  Eh ternyata endes juga 😁",https://img-global.cpcdn.com/recipes/4b3f3da6d345cfe8/680x482cq70/sup-ikan-mujaer-foto-resep-utama.jpg
19,Udang goreng mentega,1/2 udang--10 buah cabe hijau--5 siung bawang merah--secukupnya Mentega--secukupnya Garam--secukupnya Penyedap rasa--secukupnya Gula--Perasan jeruk nipis--,"Bersihkan udang dari kulit dan kotoran.--Potong cabe dan bawang sesuai selera.--Campurkan cabe dan bawang dan perasan jeruk nipis kedalam udang lalu beri garam gula dan penyedap rasa, aduk sampai terserap--Panaskan wajan lalu masukan mentega dan sedikit minyak. Setelah panas masukan udang yang sudah dicampur dengan bawang dan cabe tadi--Aduk sebentar lalu kecilkan api dan tutup wajan sampai air yang ada didalam wajan surut.--Setelah air mulai sedikit dan udang sudah merah dan lunak angkat lalu tiriskan.--",1,/id/resep/4472707-udang-goreng-mentega,,https://img-global.cpcdn.com/recipes/6f82fa4d8ea63786/680x482cq70/udang-goreng-mentega-foto-resep-utama.jpg
20,Sarden kangkung 😘,"1 kaleng ikan sarden(botan)--1 gengam kangkunng (pucuknya saja, cuci bersih)--4 siung bawangputih(iris)--5 siung bwng mrah(iris)--sesuai selera Cabe rawit--1 btng daun bwang(iris)--1 btng sereh(gprek)--2 ruas jari jahe(geprek)--2 lbar daun jeruk--secukupnya Garam--secukupnya Royco--secukupnya Gula--secukupnya Kecap--secukupnya Air--Minyak untuk menumis bumbu--1 kaleng ikan sarden(botan)--1 gengam kangkunng (pucuknya saja, cuci bersih)--4 siung bawangputih(iris)--5 siung bwng mrah(iris)--sesuai selera Cabe rawit--1 btng daun bwang(iris)--1 btng sereh(gprek)--2 ruas jari jahe(geprek)--2 lbar daun jeruk--secukupnya Garam--secukupnya Royco--secukupnya Gula--secukupnya Kecap--secukupnya Air--Minyak untuk menumis bumbu--","Tumis semua bumbu sampai harum, masukan ikan sarden, tambahkan air, lalu royco,gula,garam,dan kecap, setelah men ddih, masukan kangkunh, masak sampai kangkung matang, tes rasa lalau angkat dan sajikan--Nikmat d makan dengan nasi hangat--Nikmat d makan dengan nasi hangat--",2,/id/resep/4472300-sarden-kangkung-%F0%9F%98%98,,https://img-global.cpcdn.com/recipes/69c2aa380b98cfc6/680x482cq70/sarden-kangkung-foto-resep-utama.jpg
21,Potatoes cheese with egg,"250 gr kentang kupas dan potong bulat"" goreng setengah matang--2 bh sosis potong bulat--50 ml susu segar--50 gr keju cheedar parut--50 gr keju mozarela parut--3 butir telur kocok--lada dan garamsecukupnya--","Siapkan cetak tahan panas olesi dgn mentega, uk 12 cm--Tata kentang goreng dipinggan sampai tertutup semua--Kocokan telur bumbui dgn lada dan garam secukupnya, kocok rata tambahkan susu segar, sisihkan--Kentang yg sdh diatur dipinggan atasnya taburi dgn keju cheedar, potongan sosis, dan keju mozarela, terakhir tuangkan kocokan telur susu--Oven selama 20 mnt dgn suhu 180 derajat, jgn lupa panaskan oven lebih dahulu--Siap disajikan dgn saoce sambal tomat--",4,/id/resep/4473136-potatoes-cheese-with-egg,"maunya buat sarapan yg cepat dan gk ribet, tpi semalam malas tuk belanja, ya buat saja dari bahan yg ada dirumah...😘",https://img-global.cpcdn.com/recipes/24bab7a892bc1892/680x482cq70/potatoes-cheese-with-egg-foto-resep-utama.jpg
22,Krecek Kambing,"300 g daging kambing plus tulang, potong tipis2, cuci--Secukupnya garam,gula merah/gula pasir, penyedap(optional)--1 sdm asam jawa--1 buah serai, simpulkan--2 lembar daun salam--Minyak untuk menumis--750-1000 ml air--Bahan diiris:--3 siung bawang putih--3 buah bawang merah--1 cm jahe--1 cm lengkuas--1 buah cabe merah besar--","Tumis bawang merah dan bawang putih hingga harum. Tambahkan sisa bahan yang diiris, serai dan daun salam aduk rata hingga cabe merah sedikit layu. Masukkan daging kambing, aduk-aduk sampai berubah warna.--Ketika daging sudah berubah warna masukkan air, garam, gula, penyedap dan asam jawa, aduk rata. Tunggu hingga air menyusut dan daging sudah empuk. Koreksi rasa dan siap disajikan dengan nasi hangat😍😄--",15,/id/resep/3939880-krecek-kambing,"Dapat daging kambing dari tetangga, jadi inget alm. Bapak suka buat krecek kambing. Jadilah dibuat krecek daging kambingnya. Masaknya mudah tinggal diiris aja bumbunya tapi rasa hmm enak walaupun simpel😄.",https://img-global.cpcdn.com/recipes/6851c84df74a84ff/680x482cq70/krecek-kambing-foto-resep-utama.jpg
